Mortero y masa;"Un mortero es un utensilio utilizado en laboratorios y cocinas para triturar, mezclar y moler sustancias sólidas en pequeña escala. ",,
Arena;"La arena es un conjunto de fragmentos sueltos de pequeño tamaño de rocas, minerales o exoesqueletos de animales marinos. ",, esta escala divide unmilímetro en 10 partes y tiene como cuenta mínima 0.1mm.
Acetona;"La acetona (C3H6O) es un líquido orgánico, inflamable, volátil y natural. Es la cetona más simple y se utiliza como disolvente y como compuesto básico para reacciones químicas orgánicas; se utiliza en la industria textil, como aditivo para la gasolina, para la limpieza, etc. ",,
Vasos de laboratorio;"Los vasos precipitados son un tipo de vidrio especialmente diseñado para usar en laboratorio. Están hechos de vidrio borosilicato de alta resistencia al calor y tienen una forma especial de cuello largo y estrecho. Se usan para disolver sólidos en líquidos, filtrar los resultados y para realizar ajustes de volumen. ",,
Embudos;"Los embudos y los productos de filtrado son artículos comunes en el laboratorio que se emplean para filtrar, llenar, decantar o transferir líquidos o polvos de un recipiente a otro. Los embudos de laboratorio están hechos de vidrio, de plástico (habitualmente de HDPE) o, a veces, de metal. ",,
Papel de filtro;"Los papeles de filtro son consumibles habituales en el laboratorio y se utilizan con un embudo cónico para filtrar y retener sólidos, partículas y otros contaminantes en soluciones acuosas, suspensiones, disolventes y demás líquidos. Se fabrican con fibras cortas de celulosa natural o de fibras de vidrio o cuarzo. ",,
Placas de sílice;"Las placas para cromatografía en capa fina (TLC) de Merck permiten análisis fiables, rápidos y económicos de una gran variedad de sustancias en aplicaciones farmacéuticas, ambientales, alimentarias y de bebidas, cosméticas y muchas más. ",,
Goteros;"Aparato que sirve para administrar un líquido por vía intravenosa, consistente en un recipiente, un tubo y una cánula. ",,
Iso-octano-acetona;"El isooctano es un líquido transparente e incoloro con olor a gasolina. Se utiliza como solvente, en la fabricación de otras substancias químicas, en combustibles para motores y para determinar el octanaje de los combustibles.",,,
Cámaras de vidrio con tapas;"Definicion pendiente",,
Tubos capilares;"Un tubo capilar es una conducción de fluido muy estrecha y de pequeña sección circular. Su nombre se origina por la similitud con el espesor del cabello. Es en estos tubos en los que se manifiestan los fenómenos de capilaridad.",,
Lápiz de grafito;"Los lápices se componen de una mina de grafito que se encuentra en la zona central. Esta mina está envuelta en arcilla y revestida con madera. El grafito aporta el color negro y la arcilla actúa como agente de unión, dando forma y resistencia a la mina. La calidad del lápiz viene determinada por la calidad del grafito ",,
Reglas;"Se conoce como regla biogeográfica a la descripción geográfica de diferentes patrones fisiológicos de animales y plantas, que determina cómo se distribuyen las especies en el mundo. Muchos de estos patrones regulares se les denomina según los nombres de aquellos que primero las describieron. ",,
